epoch,train_loss,train_acc,val_loss,val_acc
1,1.832222,0.100000,1.899426,0.203333
2,1.622805,0.308333,1.924175,0.176667
3,1.418965,0.525000,1.993074,0.180000
4,1.272074,0.641667,2.091755,0.186667
5,1.172971,0.675000,2.194535,0.200000
6,1.068361,0.633333,2.253269,0.216667
7,0.899378,0.725000,2.274476,0.233333
8,0.786753,0.750000,2.266878,0.246667
9,0.710261,0.783333,2.235452,0.250000
10,0.638386,0.833333,2.188049,0.273333
11,0.566746,0.833333,2.134406,0.286667
12,0.502756,0.858333,2.076195,0.330000
13,0.446631,0.883333,2.023768,0.350000
14,0.423446,0.916667,1.984267,0.373333
15,0.379277,0.900000,1.952574,0.396667
16,0.309076,0.933333,1.928875,0.413333
17,0.298934,0.933333,1.910361,0.423333
18,0.308002,0.933333,1.893952,0.426667
19,0.239029,0.958333,1.881638,0.433333
20,0.179148,0.975000,1.865440,0.433333
21,0.203570,0.958333,1.850885,0.430000
22,0.195761,0.966667,1.848294,0.433333
23,0.155810,0.975000,1.845878,0.420000
24,0.155645,0.950000,1.841059,0.416667
25,0.117485,0.983333,1.840827,0.416667
26,0.111427,0.966667,1.844894,0.413333
27,0.099098,0.983333,1.849549,0.413333
28,0.102971,0.991667,1.860940,0.413333
29,0.080256,1.000000,1.879770,0.413333
30,0.111680,0.983333,1.901238,0.406667
31,0.077128,0.983333,1.926555,0.416667
32,0.091782,0.983333,1.954631,0.410000
33,0.051954,1.000000,1.988005,0.410000
34,0.071295,0.991667,2.020579,0.410000
35,0.073867,0.983333,2.042300,0.410000
36,0.066327,0.983333,2.061169,0.410000
37,0.057049,0.991667,2.085012,0.406667
38,0.040694,1.000000,2.112136,0.403333
39,0.051864,0.991667,2.141465,0.400000
40,0.038196,1.000000,2.167976,0.400000
41,0.041503,1.000000,2.187635,0.400000
42,0.055167,1.000000,2.195084,0.400000
43,0.046613,0.983333,2.194741,0.406667
44,0.048441,1.000000,2.198738,0.400000
45,0.058854,0.983333,2.195599,0.403333
46,0.077062,0.975000,2.185896,0.396667
47,0.058148,0.983333,2.172046,0.400000
48,0.062731,0.966667,2.153711,0.396667
49,0.042540,1.000000,2.138371,0.393333
50,0.040028,1.000000,2.124589,0.393333
51,0.031101,0.991667,2.124023,0.393333
52,0.065802,0.983333,2.116961,0.396667
53,0.034183,1.000000,2.117936,0.396667
54,0.058509,0.975000,2.124021,0.400000
55,0.055814,0.983333,2.134153,0.400000
56,0.030219,1.000000,2.143490,0.400000
57,0.073517,0.991667,2.139954,0.403333
58,0.028604,0.991667,2.142882,0.403333
59,0.035490,1.000000,2.138701,0.406667
60,0.063069,0.983333,2.121793,0.410000
61,0.047101,0.991667,2.106511,0.410000
62,0.044648,0.983333,2.081358,0.406667
63,0.041194,0.983333,2.061729,0.406667
64,0.042565,0.991667,2.043778,0.410000
65,0.026299,1.000000,2.031625,0.413333
66,0.043290,0.991667,2.020659,0.413333
67,0.058356,0.991667,2.020100,0.413333
68,0.036613,0.991667,2.026345,0.413333
69,0.052037,0.966667,2.025591,0.416667
70,0.032177,1.000000,2.026501,0.416667
71,0.037802,1.000000,2.025441,0.420000
72,0.028402,0.991667,2.027044,0.420000
73,0.039687,1.000000,2.032687,0.420000
74,0.047156,1.000000,2.047146,0.420000
75,0.071136,0.983333,2.047397,0.420000
76,0.031319,1.000000,2.047919,0.420000
77,0.047106,0.983333,2.035736,0.426667
78,0.052850,0.983333,2.017579,0.426667
79,0.040954,0.991667,2.002735,0.430000
80,0.057584,0.983333,1.992822,0.426667
81,0.042921,1.000000,1.988876,0.426667
82,0.031792,1.000000,1.993023,0.423333
83,0.044590,1.000000,1.991833,0.413333
84,0.045532,0.991667,1.992506,0.413333
85,0.047113,0.991667,1.985825,0.416667
86,0.033314,1.000000,1.981277,0.413333
87,0.043829,1.000000,1.973989,0.413333
88,0.052256,0.983333,1.976114,0.413333
89,0.031640,1.000000,1.970646,0.420000
90,0.034682,1.000000,1.954649,0.423333
91,0.043573,0.991667,1.926513,0.433333
92,0.022817,1.000000,1.905277,0.430000
93,0.063799,0.983333,1.900356,0.436667
94,0.030847,1.000000,1.907492,0.443333
95,0.028785,1.000000,1.916683,0.443333
96,0.024801,1.000000,1.926986,0.456667
97,0.036930,1.000000,1.940911,0.460000
98,0.065965,0.983333,1.941639,0.456667
99,0.026547,1.000000,1.943278,0.460000
100,0.037095,0.991667,1.949520,0.463333
101,0.022980,1.000000,1.969674,0.466667
102,0.032470,0.991667,1.986300,0.463333
103,0.036506,0.991667,2.002419,0.460000
104,0.035112,1.000000,2.015133,0.453333
105,0.034206,0.991667,2.023680,0.450000
106,0.031075,1.000000,2.020752,0.446667
107,0.030566,1.000000,2.017352,0.446667
108,0.037826,1.000000,2.017742,0.443333
109,0.022880,1.000000,2.019550,0.440000
110,0.037084,1.000000,2.024800,0.440000
111,0.030802,1.000000,2.023999,0.440000
112,0.041793,1.000000,2.014415,0.440000
113,0.029425,1.000000,1.999841,0.436667
