epoch,train_loss,train_acc,val_loss,val_acc
1,1.959364,0.128571,1.972410,0.100000
2,1.842179,0.285714,1.931481,0.233333
3,1.764306,0.392857,1.890043,0.293333
4,1.670205,0.528571,1.844970,0.356667
5,1.611184,0.571429,1.796609,0.366667
6,1.532146,0.592857,1.742464,0.380000
7,1.407231,0.607143,1.682491,0.406667
8,1.333686,0.642857,1.617770,0.440000
9,1.210856,0.721429,1.551866,0.480000
10,1.126039,0.707143,1.486684,0.536667
11,1.054656,0.750000,1.423480,0.576667
12,0.974041,0.764286,1.362879,0.636667
13,0.879557,0.821429,1.303966,0.643333
14,0.758672,0.835714,1.247672,0.676667
15,0.683899,0.871429,1.195536,0.693333
16,0.666461,0.871429,1.148346,0.703333
17,0.601548,0.864286,1.104691,0.723333
18,0.557602,0.907143,1.063550,0.740000
19,0.511543,0.921429,1.025189,0.750000
20,0.450019,0.900000,0.990808,0.760000
21,0.442760,0.928571,0.956738,0.766667
22,0.409672,0.907143,0.925488,0.786667
23,0.388621,0.914286,0.896717,0.793333
24,0.328238,0.921429,0.871170,0.793333
25,0.341031,0.942857,0.847901,0.800000
26,0.299956,0.950000,0.827780,0.816667
27,0.293304,0.950000,0.811036,0.823333
28,0.298838,0.950000,0.796988,0.823333
29,0.196497,0.964286,0.783988,0.816667
30,0.234679,0.964286,0.770934,0.813333
31,0.216737,0.964286,0.758293,0.816667
32,0.207005,0.964286,0.746406,0.813333
33,0.164251,0.957143,0.736929,0.813333
34,0.187897,0.964286,0.728455,0.813333
35,0.155625,0.971429,0.720371,0.816667
36,0.129324,0.992857,0.712855,0.820000
37,0.150549,0.978571,0.708001,0.820000
38,0.122720,0.992857,0.703162,0.820000
39,0.159385,0.964286,0.698514,0.820000
40,0.130743,0.978571,0.695107,0.816667
41,0.143958,0.964286,0.690179,0.813333
42,0.099401,0.985714,0.685236,0.813333
43,0.086052,1.000000,0.680917,0.813333
44,0.108370,0.985714,0.677624,0.816667
45,0.167400,0.950000,0.676724,0.816667
46,0.111462,0.985714,0.675803,0.813333
47,0.147182,0.950000,0.672425,0.813333
48,0.113486,0.985714,0.669305,0.813333
49,0.090722,0.985714,0.666149,0.816667
50,0.110881,0.978571,0.662738,0.813333
51,0.113230,0.985714,0.658087,0.810000
52,0.089989,0.985714,0.651753,0.813333
53,0.090759,0.978571,0.645411,0.813333
54,0.084717,0.992857,0.639033,0.820000
55,0.068597,1.000000,0.634432,0.820000
56,0.094735,0.985714,0.629929,0.820000
57,0.070803,0.978571,0.626660,0.816667
58,0.073107,0.978571,0.623687,0.816667
59,0.098652,0.978571,0.621359,0.816667
60,0.065946,0.992857,0.620260,0.813333
61,0.094892,0.978571,0.619893,0.806667
62,0.066719,0.992857,0.620440,0.806667
63,0.071403,0.992857,0.620967,0.813333
64,0.070882,0.985714,0.623956,0.813333
65,0.080423,0.985714,0.628309,0.813333
66,0.057653,0.992857,0.633253,0.803333
67,0.078031,0.992857,0.636558,0.803333
68,0.088430,0.992857,0.638366,0.803333
69,0.074885,0.985714,0.639846,0.803333
70,0.053459,0.992857,0.640634,0.806667
71,0.046252,0.992857,0.640117,0.803333
72,0.076124,0.985714,0.639116,0.803333
73,0.059321,1.000000,0.637124,0.800000
74,0.066026,0.992857,0.635043,0.796667
75,0.087243,0.985714,0.632822,0.796667
76,0.118175,0.971429,0.629683,0.796667
77,0.060189,1.000000,0.628073,0.790000
78,0.076633,0.992857,0.626852,0.793333
79,0.062889,0.992857,0.624986,0.793333
80,0.054806,1.000000,0.622414,0.796667
81,0.084993,0.992857,0.619073,0.796667
82,0.075051,0.992857,0.613366,0.810000
83,0.069975,0.985714,0.608846,0.810000
84,0.056358,1.000000,0.606456,0.813333
85,0.050480,0.992857,0.604581,0.813333
86,0.061381,0.992857,0.603568,0.813333
87,0.071299,0.992857,0.603088,0.813333
88,0.061362,0.978571,0.603321,0.810000
89,0.058883,0.985714,0.603811,0.810000
90,0.056286,1.000000,0.605063,0.806667
91,0.069844,0.985714,0.607677,0.810000
92,0.074838,1.000000,0.609844,0.813333
93,0.080761,0.971429,0.612953,0.813333
94,0.051829,0.992857,0.614984,0.813333
95,0.057300,0.992857,0.616289,0.813333
96,0.108226,0.978571,0.615824,0.813333
97,0.068692,0.992857,0.616300,0.813333
98,0.063770,0.992857,0.615403,0.806667
99,0.091138,0.985714,0.615557,0.803333
100,0.071375,0.985714,0.613822,0.800000
101,0.084007,0.985714,0.611725,0.810000
102,0.068103,0.985714,0.607303,0.813333
103,0.051844,0.992857,0.602706,0.813333
104,0.069231,0.985714,0.598897,0.810000
105,0.047824,1.000000,0.595164,0.810000
106,0.076418,0.992857,0.591686,0.810000
107,0.071933,0.978571,0.589669,0.813333
108,0.062110,0.992857,0.587530,0.813333
109,0.075584,0.992857,0.586279,0.813333
110,0.050302,1.000000,0.585945,0.813333
111,0.068517,0.992857,0.587386,0.816667
112,0.068018,0.992857,0.588905,0.813333
113,0.058139,1.000000,0.590975,0.813333
114,0.051602,0.992857,0.593781,0.810000
115,0.053589,1.000000,0.597556,0.810000
116,0.049013,1.000000,0.601230,0.810000
117,0.045277,1.000000,0.603991,0.806667
118,0.057434,0.992857,0.606287,0.806667
119,0.050159,1.000000,0.606102,0.800000
120,0.061118,0.992857,0.600079,0.803333
121,0.042558,1.000000,0.595980,0.810000
122,0.042181,1.000000,0.593070,0.806667
123,0.054203,0.992857,0.591255,0.806667
124,0.047927,1.000000,0.588020,0.803333
125,0.048417,0.992857,0.585046,0.803333
126,0.060340,0.992857,0.581758,0.803333
127,0.045418,1.000000,0.578728,0.806667
128,0.037165,1.000000,0.575903,0.806667
129,0.057684,0.992857,0.573948,0.806667
130,0.058132,0.985714,0.573226,0.806667
131,0.048798,0.992857,0.575144,0.806667
132,0.046118,1.000000,0.577629,0.806667
133,0.072749,0.992857,0.580634,0.810000
134,0.050527,1.000000,0.581481,0.806667
135,0.062293,0.992857,0.583536,0.806667
136,0.055434,0.992857,0.587438,0.806667
137,0.042118,1.000000,0.593583,0.806667
138,0.035973,1.000000,0.600116,0.806667
139,0.064310,0.985714,0.602706,0.806667
140,0.051137,0.992857,0.604251,0.806667
141,0.044828,0.992857,0.604817,0.810000
142,0.061923,0.992857,0.603663,0.803333
143,0.042145,1.000000,0.601228,0.800000
144,0.047215,1.000000,0.598481,0.796667
145,0.071749,0.985714,0.596627,0.786667
146,0.050916,1.000000,0.595191,0.786667
147,0.043655,0.992857,0.594659,0.786667
148,0.049700,1.000000,0.591082,0.790000
149,0.064596,0.992857,0.588934,0.793333
150,0.061777,0.978571,0.589377,0.800000
151,0.036847,1.000000,0.590907,0.800000
152,0.078141,0.978571,0.592064,0.800000
153,0.051198,0.992857,0.590627,0.810000
154,0.066275,0.985714,0.589095,0.810000
155,0.035994,1.000000,0.585122,0.810000
156,0.046879,0.992857,0.582057,0.810000
157,0.047998,1.000000,0.579038,0.813333
158,0.041654,1.000000,0.577781,0.813333
159,0.052036,1.000000,0.577556,0.813333
160,0.055387,0.992857,0.579169,0.810000
161,0.052746,0.992857,0.580012,0.810000
