epoch,train_loss,train_acc,val_loss,val_acc
1,1.146591,0.333333,1.059927,0.413333
2,1.152853,0.333333,1.055726,0.420000
3,1.143476,0.350000,1.053522,0.430000
4,1.103641,0.350000,1.052140,0.436667
5,1.074945,0.350000,1.051225,0.446667
6,1.070668,0.450000,1.050278,0.450000
7,1.065577,0.450000,1.048957,0.453333
8,1.067109,0.466667,1.046549,0.473333
9,1.069930,0.416667,1.042890,0.483333
10,1.031790,0.616667,1.038071,0.486667
11,1.023860,0.566667,1.032585,0.513333
12,1.034604,0.550000,1.026538,0.540000
13,1.006250,0.566667,1.020052,0.580000
14,0.996741,0.550000,1.013334,0.593333
15,0.993190,0.550000,1.005855,0.620000
16,0.938438,0.716667,0.997925,0.646667
17,0.953786,0.766667,0.989440,0.676667
18,0.937564,0.683333,0.980596,0.696667
19,0.928318,0.733333,0.971184,0.703333
20,0.928504,0.750000,0.961557,0.706667
21,0.881214,0.783333,0.951653,0.716667
22,0.875484,0.750000,0.941654,0.720000
23,0.864102,0.800000,0.931507,0.743333
24,0.860994,0.733333,0.920996,0.746667
25,0.856095,0.716667,0.910392,0.743333
26,0.822754,0.750000,0.900024,0.740000
27,0.815109,0.766667,0.889896,0.740000
28,0.748841,0.866667,0.879520,0.753333
29,0.753769,0.866667,0.869216,0.750000
30,0.767428,0.800000,0.859175,0.746667
31,0.737643,0.833333,0.849505,0.753333
32,0.709292,0.833333,0.839848,0.760000
33,0.695060,0.833333,0.830371,0.763333
34,0.684491,0.900000,0.821066,0.763333
35,0.685712,0.883333,0.811890,0.773333
36,0.676725,0.850000,0.802302,0.780000
37,0.645350,0.883333,0.792587,0.780000
38,0.651831,0.800000,0.783286,0.776667
39,0.631904,0.833333,0.774023,0.780000
40,0.624023,0.833333,0.764701,0.783333
41,0.574436,0.883333,0.756023,0.783333
42,0.606956,0.850000,0.747565,0.786667
43,0.525403,0.916667,0.739672,0.790000
44,0.558631,0.883333,0.731770,0.790000
45,0.542655,0.916667,0.724233,0.790000
46,0.482616,0.933333,0.716660,0.780000
47,0.477707,0.933333,0.709213,0.783333
48,0.471439,0.916667,0.702391,0.786667
49,0.471742,0.900000,0.695939,0.786667
50,0.431171,0.966667,0.689390,0.783333
51,0.452017,0.916667,0.682748,0.783333
52,0.435291,0.900000,0.676341,0.786667
53,0.406748,0.933333,0.670572,0.790000
54,0.383663,0.933333,0.665330,0.790000
55,0.399386,0.916667,0.660506,0.786667
56,0.387980,0.950000,0.655838,0.783333
57,0.414016,0.933333,0.651576,0.783333
58,0.361706,0.950000,0.647391,0.783333
59,0.337809,0.950000,0.643200,0.783333
60,0.344164,0.950000,0.638940,0.783333
61,0.374521,0.933333,0.635034,0.783333
62,0.341986,0.966667,0.631382,0.780000
63,0.382550,0.933333,0.628113,0.783333
64,0.292878,0.950000,0.625003,0.783333
65,0.347598,0.933333,0.622367,0.783333
66,0.317928,0.933333,0.620388,0.783333
67,0.267858,0.950000,0.618096,0.783333
68,0.297149,0.916667,0.615822,0.780000
69,0.283506,0.966667,0.612483,0.776667
70,0.289058,0.950000,0.609878,0.780000
71,0.301047,0.950000,0.607384,0.780000
72,0.303130,0.933333,0.605628,0.776667
73,0.277111,0.950000,0.604283,0.776667
74,0.267073,0.966667,0.603349,0.776667
75,0.253329,0.983333,0.602482,0.773333
76,0.244738,1.000000,0.601284,0.770000
77,0.267609,0.916667,0.600855,0.773333
78,0.253529,0.966667,0.600471,0.773333
79,0.248632,0.950000,0.599669,0.776667
80,0.197400,0.983333,0.598545,0.773333
81,0.217199,1.000000,0.597396,0.773333
82,0.215108,0.966667,0.596311,0.770000
83,0.209567,0.966667,0.594745,0.766667
84,0.247888,0.966667,0.593989,0.766667
85,0.223354,0.950000,0.593114,0.766667
86,0.183606,0.983333,0.593092,0.770000
87,0.230633,0.933333,0.593401,0.773333
88,0.220011,1.000000,0.593385,0.770000
89,0.225320,1.000000,0.594003,0.770000
90,0.190796,0.983333,0.594220,0.773333
91,0.152830,0.983333,0.594968,0.776667
92,0.198395,0.983333,0.596571,0.776667
93,0.189432,0.983333,0.597537,0.780000
94,0.175337,0.983333,0.597134,0.776667
95,0.188477,1.000000,0.596343,0.776667
96,0.174715,0.966667,0.594650,0.776667
97,0.186851,0.983333,0.592583,0.776667
98,0.185369,1.000000,0.590568,0.776667
99,0.164510,1.000000,0.589390,0.773333
100,0.181973,0.983333,0.587384,0.773333
101,0.128111,1.000000,0.586315,0.776667
102,0.172618,1.000000,0.585589,0.773333
103,0.163689,1.000000,0.585964,0.773333
104,0.170841,0.983333,0.586138,0.776667
105,0.196948,0.950000,0.587684,0.773333
106,0.145888,0.966667,0.589082,0.773333
107,0.179070,0.983333,0.590514,0.776667
108,0.176923,0.966667,0.591535,0.773333
109,0.155877,1.000000,0.591637,0.773333
110,0.175238,0.966667,0.589878,0.770000
111,0.180266,0.966667,0.587370,0.770000
112,0.149591,0.983333,0.585458,0.773333
113,0.147190,0.983333,0.584179,0.770000
114,0.153391,0.966667,0.583646,0.766667
115,0.158689,0.983333,0.583575,0.763333
116,0.135030,1.000000,0.583831,0.763333
117,0.150076,1.000000,0.584690,0.763333
118,0.152952,0.983333,0.585689,0.766667
119,0.118137,1.000000,0.586747,0.770000
120,0.148431,1.000000,0.587429,0.770000
121,0.116065,1.000000,0.587679,0.766667
122,0.165867,1.000000,0.588169,0.770000
123,0.124423,1.000000,0.589389,0.770000
124,0.152124,0.966667,0.591142,0.770000
125,0.162292,0.966667,0.593058,0.776667
126,0.121619,1.000000,0.595346,0.780000
127,0.111497,1.000000,0.597137,0.773333
